Samples	SBS1	SBS2	SBS4	SBS5	SBS13	SBS26	SBS43	SBS58
CRUK0078_SU_T1-R4	10	0	0	77	0	0	0	0
CRUK0079_SU_T1-R1	58	0	0	564	0	0	0	0
CRUK0079_SU_T1-R2	57	0	0	751	0	215	0	0
CRUK0079_SU_T1-R3	83	0	0	1074	0	0	0	0
CRUK0079_SU_T1-R4	77	0	0	866	0	197	0	0
CRUK0080_SU_T1-R2	3	0	0	100	0	0	78	0
CRUK0080_SU_T1-R3	18	0	0	118	0	0	44	0
CRUK0080_SU_T1-R4	10	0	0	201	0	0	62	0
CRUK0080_SU_T1-R5	0	0	0	333	0	0	0	0
CRUK0080_SU_T1-R6	12	0	0	209	0	0	103	0
CRUK0081_SU_T1-R1	0	0	0	143	0	0	0	0
CRUK0081_SU_T1-R5	6	0	0	434	0	0	0	0
CRUK0081_SU_T1-R6	8	0	0	21	0	14	0	0
CRUK0082_SU_T1-R1	79	0	0	605	0	160	0	0
CRUK0082_SU_T1-R2	53	0	0	360	0	111	0	0
CRUK0082_SU_T1-R3	18	0	0	180	0	62	0	0
CRUK0082_SU_T1-R4	69	0	0	998	0	0	0	0
CRUK0082_SU_T1-R5	1	0	0	481	0	0	0	0
CRUK0083_SU_T1-R1	100	0	0	1214	0	241	0	0
CRUK0083_SU_T1-R2	133	0	0	1385	0	303	0	0
CRUK0083_SU_T1-R3	19	0	0	1242	0	0	0	0
CRUK0083_SU_T1-R4	261	0	0	2111	0	672	0	0
CRUK0084_SU_T1-R1	56	0	0	813	0	0	0	0
CRUK0084_SU_T1-R2	65	0	0	691	0	157	0	0
CRUK0084_SU_T1-R3	30	0	0	395	0	0	66	0
CRUK0084_SU_T1-R4	45	0	0	588	0	0	0	0
CRUK0085_SU_T1-R1	12	14	96	174	82	0	0	0
CRUK0085_SU_T1-R2	6	48	138	425	146	0	0	0
CRUK0085_SU_T1-R3	0	59	0	321	146	0	0	229
CRUK0085_SU_T1-R4	21	34	0	728	80	0	0	198
CRUK0086_SU_T1-R1	5	0	125	136	0	0	0	82
CRUK0086_SU_T1-R2	11	0	0	766	0	0	0	0
CRUK0086_SU_T1-R4	0	0	126	91	0	0	0	126
CRUK0087_SU_T1-R1	0	55	0	159	79	0	0	111
CRUK0087_SU_T1-R2	5	76	0	209	70	0	0	0
CRUK0087_SU_T1-R3	10	42	0	157	52	0	0	0
CRUK0088_SU_T1-R1	12	23	92	169	21	0	0	0
CRUK0088_SU_T1-R2	14	0	0	557	0	0	0	0
CRUK0089_SU_T1-R1	0	0	0	35	0	0	0	0
CRUK0089_SU_T1-R2	0	0	233	157	0	0	0	0
CRUK0090_SU_T1-R1	108	0	0	781	0	266	0	0
CRUK0090_SU_T1-R2	144	0	0	1243	0	321	0	0
CRUK0091_SU_T1-R1	3	0	0	50	0	0	13	0
CRUK0091_SU_T1-R2	10	0	0	198	0	0	0	0
CRUK0092_SU_T1-R1	17	0	0	263	0	0	0	0
CRUK0092_SU_T1-R2	7	0	0	70	0	0	17	0
CRUK0093_SU_T1-R1	11	0	0	111	0	0	0	0
CRUK0093_SU_T1-R2	7	0	166	97	0	0	0	115
CRUK0094_SU_T1-R1	3	0	0	151	0	0	21	0
CRUK0094_SU_T1-R2	9	0	0	202	0	0	0	0
CRUK0094_SU_T1-R3	12	0	0	118	0	0	0	52
CRUK0094_SU_T1-R4	2	0	0	111	0	0	0	56
CRUK0095_SU_T1-R1	4	0	30	56	0	0	0	57
CRUK0095_SU_T1-R2	0	0	0	0	0	0	34	110
CRUK0095_SU_T1-R3	0	0	36	54	0	0	0	113
CRUK0096_SU_T1-R1	9	0	0	417	0	0	0	118
CRUK0096_SU_T1-R2	62	0	0	339	0	107	0	0
CRUK0096_SU_T1-R3	45	0	0	207	0	76	66	0
CRUK0096_SU_T1-R4	87	0	0	886	0	0	0	0
CRUK0096_SU_T1-R5	60	0	0	640	0	0	0	154
CRUK0096_SU_T1-R6	16	0	0	403	0	0	0	151
CRUK0096_SU_T1-R7	67	0	0	992	0	0	0	0
CRUK0097_SU_T1-R1	27	0	0	430	0	0	0	0
CRUK0097_SU_T1-R2	35	0	0	791	0	0	0	0
CRUK0098_SU_T1-R1	22	0	0	218	0	0	0	0
