Samples	SBS96A	SBS96B	SBS96C	SBS96D
CRUK0025_SU_T1-R3	2.20E+00	2.00E+00	2.01E+00	1.05E+00
CRUK0026_SU_T1-R1	1.00E+00	8.28E-01	9.02E-01	6.11E-01
CRUK0026_SU_T1-R2	2.19E+00	1.20E+00	1.41E+00	1.94E+00
CRUK0027_SU_T1-R1	4.20E-01	0.00E+00	3.17E-01	4.30E-01
CRUK0027_SU_T1-R2	2.15E-01	1.66E+00	1.75E+00	8.19E-01
CRUK0027_SU_T1-R3	4.67E-01	3.00E-01	3.96E-01	2.52E-01
CRUK0028_SU_T1-R1	1.14E+00	6.96E-01	5.12E-01	1.09E+00
CRUK0028_SU_T1-R2	1.11E+00	9.89E-01	8.00E-01	6.99E-01
CRUK0029_SU_T1-R1	1.04E+00	8.06E-01	4.71E-01	6.86E-01
CRUK0029_SU_T1-R2	1.38E+00	1.20E+00	1.51E+00	9.09E-01
CRUK0029_SU_T1-R4	2.68E+00	2.12E+00	2.42E+00	1.22E+00
CRUK0029_SU_T1-R5	1.09E+00	9.02E-01	9.01E-01	4.30E-01
CRUK0029_SU_T1-R6	2.80E+00	1.90E+00	2.29E+00	1.12E+00
CRUK0029_SU_T1-R7	1.42E+00	9.59E-01	1.16E+00	1.35E+00
CRUK0029_SU_T1-R8	1.94E+00	1.45E+00	1.73E+00	8.94E-01
CRUK0030_SU_T2-R1	4.99E-01	1.39E+00	1.80E+00	1.42E+00
CRUK0030_SU_T2-R2	1.18E+00	7.73E-01	1.02E+00	7.09E-01
CRUK0030_SU_T2-R3	1.69E+00	8.47E-01	1.52E+00	1.41E+00
CRUK0031_SU_T1-R1	3.63E+00	3.22E+00	2.98E+00	1.33E+00
CRUK0031_SU_T1-R2	3.30E+00	2.71E+00	2.29E+00	1.29E+00
CRUK0031_SU_T1-R3	4.54E+00	3.38E+00	3.27E+00	3.22E+00
CRUK0032_SU_T1-R1	1.46E+00	8.51E-01	1.17E+00	1.46E+00
CRUK0032_SU_T1-R2	2.27E+00	1.91E+00	2.28E+00	1.15E+00
CRUK0032_SU_T1-R3	1.64E+00	1.09E+00	1.34E+00	1.74E+00
CRUK0032_SU_T1-R4	2.35E+00	2.33E+00	1.83E+00	1.19E+00
CRUK0033_SU_T1-R1	1.64E+00	1.37E+00	1.65E+00	1.03E+00
CRUK0033_SU_T1-R2	2.21E+00	1.44E+00	1.53E+00	1.69E+00
CRUK0034_SU_T1-R1	1.40E+00	5.84E-01	5.40E-01	1.38E+00
CRUK0034_SU_T1-R2	2.05E+00	2.33E+00	1.52E+00	1.18E+00
CRUK0034_SU_T1-R3	1.81E+00	1.50E+00	1.35E+00	7.07E-01
CRUK0035_SU_T1-R1	1.09E+00	1.07E+00	5.10E-01	1.08E+00
CRUK0035_SU_T1-R2	1.05E+00	6.56E-01	5.47E-01	1.06E+00
CRUK0035_SU_T1-R3	1.13E+00	8.48E-01	8.42E-01	1.76E-01
CRUK0036_SU_T1-R1	8.55E-01	4.58E-01	8.73E-01	3.44E-01
CRUK0036_SU_T1-R2	2.17E+00	1.94E+00	1.99E+00	1.08E+00
CRUK0036_SU_T1-R3	1.13E+00	8.97E-01	1.04E+00	3.51E-01
CRUK0036_SU_T1-R4	1.20E+00	1.04E+00	1.40E+00	3.52E-01
CRUK0037_SU_T1-R1	2.34E+00	2.09E+00	2.13E+00	9.94E-01
CRUK0037_SU_T1-R2	2.02E+00	1.69E+00	1.36E+00	9.83E-01
CRUK0037_SU_T1-R3	1.32E+00	1.22E+00	1.18E+00	1.36E-01
CRUK0037_SU_T1-R4	1.96E+00	1.53E+00	1.71E+00	9.55E-01
CRUK0037_SU_T1-R5	1.90E+00	1.86E+00	1.88E+00	8.87E-01
CRUK0038_SU_T1-R1	1.63E+00	1.16E+00	1.94E+00	1.74E+00
CRUK0038_SU_T1-R2	1.52E+00	7.81E-01	8.11E-01	1.54E+00
CRUK0039_SU_T1-R1	1.92E+00	2.45E+00	2.81E+00	8.85E-01
CRUK0039_SU_T1-R2	2.09E+00	2.13E+00	2.01E+00	1.04E+00
CRUK0039_SU_T1-R3	2.07E+00	2.29E+00	2.50E+00	1.14E+00
CRUK0040_SU_T1-R1	1.05E+00	8.55E-01	8.71E-01	3.13E-01
CRUK0040_SU_T1-R2	1.30E+00	1.47E+00	1.49E+00	6.83E-01
CRUK0041_SU_T1-R1	2.32E+00	1.96E+00	2.05E+00	1.29E+00
CRUK0041_SU_T1-R2	2.04E+00	1.43E+00	1.63E+00	1.71E+00
CRUK0041_SU_T1-R3	2.26E+00	1.94E+00	1.80E+00	1.23E+00
CRUK0041_SU_T1-R4	1.45E+00	8.13E-01	4.36E-01	1.20E+00
CRUK0042_SU_T1-R1	8.97E-01	8.72E-01	5.35E-01	6.62E-01
CRUK0042_SU_T1-R2	5.06E-01	2.32E-01	3.96E-01	3.44E-01
CRUK0043_SU_T1-R1	2.05E+00	1.10E+00	1.78E+00	1.64E+00
CRUK0043_SU_T1-R2	2.64E+00	1.79E+00	3.00E+00	2.34E+00
CRUK0044_SU_T1-R1	6.51E-01	9.48E-01	3.67E-01	8.48E-01
CRUK0044_SU_T1-R2	1.62E-01	1.38E-01	1.22E-01	8.00E-02
CRUK0045_SU_T1-R1	8.83E-01	3.56E-01	6.86E-01	8.02E-01
CRUK0045_SU_T1-R2	1.15E+00	1.68E-01	4.78E-01	1.11E+00
CRUK0045_SU_T1-R3	8.56E-01	5.26E-01	8.12E-01	6.81E-01
CRUK0046_SU_T1-R1	1.53E+00	1.59E+00	1.67E+00	1.01E+00
CRUK0046_SU_T1-R2	1.36E+00	1.33E+00	1.06E+00	9.90E-01
CRUK0046_SU_T1-R3	1.65E+00	1.37E+00	1.58E+00	9.83E-01
CRUK0046_SU_T1-R4	1.87E+00	1.50E+00	1.99E+00	1.08E+00
CRUK0047_SU_T1-R1	1.19E+00	8.38E-01	1.13E+00	0.00E+00
CRUK0047_SU_T1-R2	2.19E+00	1.47E+00	1.79E+00	1.71E+00
CRUK0048_SU_T1-R1	1.60E+00	3.59E-01	3.80E-01	1.73E+00
CRUK0048_SU_T1-R2	2.56E+00	2.13E+00	2.29E+00	7.81E-01
CRUK0048_SU_T1-R3	3.11E+00	1.53E+00	1.21E+00	2.91E+00
CRUK0049_SU_T1-R1	2.60E+00	2.83E+00	3.61E+00	2.05E+00
CRUK0049_SU_T1-R2	2.63E+00	2.96E+00	2.92E+00	7.06E-01
CRUK0050_SU_T1-R1	1.22E+00	9.58E-01	6.32E-01	9.44E-01
CRUK0050_SU_T1-R2	1.40E+00	1.08E+00	9.64E-01	9.77E-01
CRUK0050_SU_T1-R3	1.16E+00	1.14E+00	8.83E-01	8.87E-01
CRUK0050_SU_T1-R4	4.58E-01	3.57E-01	1.79E-01	2.71E-01
CRUK0050_SU_T1-R5	1.41E+00	9.57E-01	9.44E-01	1.02E+00
CRUK0051_SU_T1-R2	1.88E+00	1.84E+00	1.63E+00	1.17E+00
CRUK0051_SU_T1-R3	2.33E+00	2.14E+00	2.06E+00	9.67E-01
CRUK0051_SU_T1-R4	1.40E+00	1.85E+00	1.35E+00	1.14E+00
CRUK0052_SU_T1-R1	2.65E+00	2.82E+00	2.30E+00	1.11E+00
CRUK0052_SU_T1-R2	1.38E+00	1.32E+00	1.32E+00	9.41E-01
CRUK0052_SU_T1-R3	1.20E+00	0.00E+00	1.02E+00	1.24E+00
CRUK0052_SU_T1-R4	1.92E+00	2.01E+00	2.33E+00	4.52E-01
CRUK0053_SU_T1-R1	4.76E+00	4.38E+00	2.76E+00	1.57E+00
CRUK0053_SU_T1-R2	4.71E+00	4.05E+00	3.79E+00	1.68E+00
CRUK0054_SU_T1-R1	1.45E+00	1.28E+00	1.52E+00	9.24E-01
CRUK0054_SU_T1-R2	1.61E+00	1.28E+00	1.30E+00	9.79E-01
CRUK0055_SU_T1-R1	9.74E-01	5.55E-01	5.03E-01	1.14E+00
CRUK0055_SU_T1-R2	2.34E+00	1.67E+00	2.83E+00	2.14E+00
CRUK0055_SU_T1-R3	1.46E+00	1.87E+00	1.89E+00	8.34E-01
CRUK0055_SU_T1-R4	1.70E+00	1.64E+00	1.34E+00	0.00E+00
CRUK0056_SU_T1-R1	1.48E+00	9.99E-01	1.41E+00	1.56E+00
CRUK0056_SU_T1-R2	1.44E+00	1.06E+00	1.26E+00	7.38E-01
CRUK0056_SU_T1-R3	1.95E+00	1.80E+00	1.62E+00	7.91E-01
CRUK0057_SU_T1-R1	2.30E+00	2.38E+00	1.69E+00	1.21E+00
CRUK0057_SU_T1-R2	2.75E+00	9.67E-01	1.20E+00	2.80E+00
CRUK0058_SU_T1-R1	1.89E+00	1.78E+00	1.38E+00	1.14E+00
CRUK0058_SU_T1-R2	2.41E+00	2.09E+00	2.40E+00	1.38E+00
CRUK0059_SU_T1-R1	9.90E-01	9.51E-01	1.27E+00	6.61E-01
CRUK0059_SU_T1-R2	1.14E+00	1.04E+00	1.44E+00	7.64E-01
CRUK0060_SU_T1-R1	2.68E+00	2.85E+00	2.02E+00	9.76E-01
CRUK0060_SU_T1-R2	1.25E+00	1.26E+00	5.77E-01	1.03E+00
CRUK0061_SU_T1-R1	2.13E+00	1.51E+00	1.45E+00	1.62E+00
CRUK0061_SU_T1-R2	4.36E-01	3.96E-01	1.00E-02	2.17E-01
CRUK0062_SU_T1-R1	2.99E+00	2.75E+00	2.39E+00	1.41E+00
CRUK0062_SU_T1-R2	3.94E+00	3.03E+00	4.17E+00	1.15E+00
CRUK0062_SU_T1-R3	3.65E+00	3.03E+00	3.21E+00	1.19E+00
CRUK0062_SU_T1-R4	3.95E+00	3.80E+00	3.79E+00	1.47E+00
CRUK0062_SU_T1-R5	2.43E+00	1.84E+00	1.94E+00	1.15E+00
CRUK0062_SU_T1-R6	1.68E+00	1.20E+00	1.50E+00	6.16E-01
CRUK0062_SU_T1-R7	5.06E+00	3.99E+00	4.28E+00	1.81E+00
CRUK0063_SU_T1-R3	1.17E+00	1.04E+00	1.14E+00	1.15E+00
CRUK0063_SU_T1-R4	1.96E+00	1.67E+00	1.94E+00	5.91E-01
CRUK0063_SU_T1-R5	2.06E+00	1.55E+00	2.10E+00	9.10E-01
CRUK0063_SU_T1-R6	8.47E-01	3.68E-01	3.83E-01	8.35E-01
CRUK0063_SU_T1-R7	4.89E-01	2.44E-01	4.04E-01	5.09E-02
CRUK0064_SU_T1-R1	1.55E+00	1.39E+00	1.67E+00	6.89E-01
CRUK0064_SU_T1-R2	9.88E-01	8.34E-01	8.02E-01	5.31E-01
CRUK0065_SU_T1-R1	3.39E+00	2.98E+00	3.35E+00	9.34E-01
CRUK0065_SU_T1-R2	2.56E+00	2.41E+00	2.31E+00	1.10E+00
CRUK0065_SU_T1-R3	2.13E+00	1.98E+00	2.04E+00	7.10E-01
CRUK0065_SU_T1-R4	2.40E+00	2.02E+00	2.29E+00	1.03E+00
CRUK0065_SU_T1-R5	2.87E+00	2.30E+00	2.90E+00	6.17E-01
CRUK0065_SU_T1-R6	2.71E+00	2.26E+00	2.48E+00	6.48E-01
CRUK0065_SU_T1-R7	1.33E+00	1.43E+00	1.06E+00	2.50E-01
CRUK0066_SU_T1-R1	2.38E+00	1.60E+00	3.50E+00	1.90E+00
CRUK0066_SU_T1-R2	7.54E-01	7.33E-01	6.31E-01	3.18E-01
CRUK0066_SU_T1-R3	1.17E+00	1.29E+00	1.26E+00	7.36E-01
CRUK0066_SU_T1-R4	3.37E+00	2.90E+00	4.27E+00	2.26E+00
CRUK0067_SU_T1-R1	2.82E+00	1.82E+00	3.86E+00	2.93E+00
CRUK0067_SU_T1-R3	3.62E+00	2.87E+00	5.04E+00	2.33E+00
CRUK0068_SU_T1-R1	1.72E+00	1.76E+00	1.66E+00	5.78E-01
CRUK0068_SU_T1-R2	8.42E-01	0.00E+00	3.43E-01	7.99E-01
CRUK0068_SU_T1-R3	1.82E+00	1.92E+00	1.83E+00	9.19E-01
CRUK0068_SU_T1-R4	1.33E+00	1.45E+00	1.43E+00	6.97E-01
CRUK0069_SU_T1-R1	1.84E+00	1.66E+00	1.47E+00	7.15E-01
CRUK0069_SU_T1-R2	2.11E+00	2.08E+00	1.74E+00	7.71E-01
CRUK0069_SU_T1-R3	1.52E+00	9.24E-01	1.03E+00	1.24E+00
CRUK0069_SU_T1-R4	1.93E+00	1.85E+00	9.97E-01	7.24E-01
CRUK0069_SU_T1-R5	2.05E+00	1.74E+00	1.41E+00	8.93E-01
CRUK0070_SU_T1-R1	5.52E+00	3.80E+00	3.73E+00	2.70E+00
CRUK0070_SU_T1-R2	4.22E+00	3.01E+00	2.58E+00	2.59E+00
CRUK0070_SU_T1-R4	3.09E+00	2.94E+00	3.54E+00	1.53E+00
CRUK0070_SU_T1-R6	3.20E+00	2.61E+00	3.90E+00	1.58E+00
CRUK0070_SU_T1-R7	5.50E-01	2.90E-01	1.00E+00	1.09E+00
CRUK0071_SU_T1-R1	3.09E+00	2.79E+00	2.72E+00	9.15E-01
CRUK0071_SU_T1-R2	1.51E+00	1.53E+00	1.24E+00	7.21E-01
CRUK0071_SU_T1-R3	1.73E+00	1.27E+00	1.51E+00	7.48E-01
CRUK0071_SU_T1-R5	9.44E-01	3.27E-01	1.63E-01	1.00E+00
CRUK0071_SU_T1-R6	1.62E+00	1.67E+00	1.67E+00	4.59E-01
CRUK0071_SU_T1-R7	2.74E+00	2.53E+00	2.04E+00	1.10E+00
CRUK0072_SU_T1-R1	2.29E+00	1.80E+00	1.88E+00	1.32E+00
CRUK0072_SU_T1-R2	3.84E+00	3.27E+00	3.06E+00	1.20E+00
CRUK0072_SU_T1-R3	1.43E+00	1.29E+00	1.63E+00	1.29E+00
CRUK0072_SU_T1-R4	3.64E+00	3.14E+00	3.06E+00	1.29E+00
CRUK0073_SU_T1-R1	5.19E+00	4.63E+00	5.05E+00	1.49E+00
CRUK0073_SU_T1-R2	2.44E+00	2.70E+00	2.50E+00	1.08E+00
CRUK0074_SU_T1-R1	3.20E+00	2.52E+00	3.87E+00	1.14E+00
CRUK0074_SU_T1-R2	1.84E+00	1.49E+00	2.08E+00	9.11E-01
CRUK0074_SU_T1-R3	1.25E+00	1.18E+00	1.78E+00	1.02E+00
CRUK0075_SU_T1-R1	1.76E+00	1.97E+00	1.84E+00	1.15E+00
CRUK0075_SU_T1-R2	2.87E+00	2.44E+00	3.26E+00	1.02E+00
CRUK0076_SU_T1-R1	2.57E+00	1.77E+00	2.03E+00	1.65E+00
CRUK0076_SU_T1-R2	2.99E+00	3.08E+00	2.03E+00	9.17E-01
CRUK0076_SU_T1-R3	2.70E+00	2.67E+00	2.14E+00	8.64E-01
CRUK0076_SU_T1-R4	2.63E+00	2.84E+00	2.18E+00	7.53E-01
CRUK0077_SU_T1-R1	1.73E+00	1.86E+00	1.41E+00	8.15E-01
CRUK0077_SU_T1-R2	2.94E+00	2.27E+00	2.57E+00	1.33E+00
CRUK0077_SU_T1-R3	4.43E+00	3.91E+00	4.06E+00	2.03E+00
CRUK0078_SU_T1-R2	1.55E+00	8.92E-01	8.10E-01	1.42E+00
CRUK0078_SU_T1-R3	1.18E+00	5.27E-01	1.28E-01	1.17E+00
CRUK0078_SU_T1-R4	6.21E-01	4.61E-01	4.98E-01	3.28E-01
CRUK0079_SU_T1-R1	1.90E+00	1.39E+00	1.28E+00	8.96E-01
CRUK0079_SU_T1-R2	2.42E+00	1.87E+00	1.88E+00	9.45E-01
CRUK0079_SU_T1-R3	2.79E+00	2.01E+00	2.51E+00	1.27E+00
CRUK0079_SU_T1-R4	2.80E+00	2.29E+00	2.36E+00	9.45E-01
CRUK0080_SU_T1-R2	1.28E+00	1.04E+00	1.40E+00	1.45E+00
CRUK0080_SU_T1-R3	1.03E+00	6.06E-01	5.46E-01	8.46E-01
CRUK0080_SU_T1-R4	1.31E+00	1.02E+00	8.55E-01	1.19E+00
CRUK0080_SU_T1-R5	1.78E+00	1.51E+00	1.51E+00	7.62E-01
CRUK0080_SU_T1-R6	1.59E+00	1.16E+00	1.36E+00	1.45E+00
CRUK0081_SU_T1-R1	9.71E-01	8.83E-01	8.42E-01	5.10E-01
CRUK0081_SU_T1-R5	1.73E+00	1.72E+00	1.48E+00	8.57E-01
CRUK0081_SU_T1-R6	5.27E-01	2.37E-01	3.04E-01	4.38E-01
CRUK0082_SU_T1-R1	2.05E+00	1.63E+00	1.81E+00	3.90E-01
CRUK0082_SU_T1-R2	1.49E+00	1.25E+00	1.41E+00	3.26E-01
CRUK0082_SU_T1-R3	1.03E+00	8.73E-01	8.39E-01	0.00E+00
CRUK0082_SU_T1-R4	2.66E+00	2.11E+00	2.10E+00	1.41E+00
CRUK0082_SU_T1-R5	1.88E+00	1.74E+00	1.84E+00	1.17E+00
CRUK0083_SU_T1-R1	3.60E+00	2.70E+00	3.53E+00	1.11E+00
CRUK0083_SU_T1-R2	4.05E+00	3.03E+00	4.42E+00	1.70E+00
CRUK0083_SU_T1-R3	3.22E+00	3.01E+00	3.92E+00	8.57E-01
CRUK0083_SU_T1-R4	4.73E+00	3.82E+00	3.71E+00	2.68E+00
CRUK0084_SU_T1-R1	2.11E+00	1.83E+00	1.93E+00	5.51E-01
CRUK0084_SU_T1-R2	2.26E+00	1.93E+00	1.87E+00	1.12E+00
CRUK0084_SU_T1-R3	1.64E+00	1.04E+00	1.21E+00	1.17E+00
CRUK0084_SU_T1-R4	1.84E+00	1.61E+00	1.63E+00	6.07E-01
CRUK0085_SU_T1-R1	1.89E+00	1.90E+00	2.59E+00	7.50E-01
CRUK0085_SU_T1-R2	3.17E+00	3.20E+00	4.68E+00	8.65E-01
CRUK0085_SU_T1-R3	3.39E+00	3.94E+00	4.59E+00	1.10E+00
CRUK0085_SU_T1-R4	3.49E+00	2.75E+00	3.87E+00	1.04E+00
CRUK0086_SU_T1-R1	1.64E+00	1.84E+00	1.49E+00	9.71E-01
CRUK0086_SU_T1-R2	2.38E+00	2.71E+00	2.44E+00	1.11E+00
CRUK0086_SU_T1-R4	1.74E+00	1.99E+00	2.20E+00	8.77E-01
CRUK0087_SU_T1-R1	2.42E+00	2.35E+00	2.73E+00	9.89E-01
CRUK0087_SU_T1-R2	2.23E+00	2.00E+00	2.44E+00	7.80E-01
CRUK0087_SU_T1-R3	1.86E+00	1.48E+00	2.08E+00	5.23E-01
CRUK0088_SU_T1-R1	1.74E+00	1.40E+00	1.70E+00	7.00E-01
CRUK0088_SU_T1-R2	2.22E+00	1.75E+00	1.80E+00	1.17E+00
CRUK0089_SU_T1-R1	6.21E-01	5.31E-01	2.85E-01	4.71E-01
CRUK0089_SU_T1-R2	1.49E+00	1.87E+00	1.26E+00	1.07E+00
CRUK0090_SU_T1-R1	2.45E+00	1.86E+00	1.95E+00	1.52E+00
CRUK0090_SU_T1-R2	3.66E+00	2.63E+00	2.72E+00	1.25E+00
CRUK0091_SU_T1-R1	5.75E-01	2.80E-01	3.23E-01	5.35E-01
CRUK0091_SU_T1-R2	1.16E+00	1.19E+00	8.88E-01	4.78E-01
CRUK0092_SU_T1-R1	1.55E+00	1.06E+00	1.06E+00	9.38E-01
CRUK0092_SU_T1-R2	7.39E-01	6.30E-01	4.32E-02	4.93E-01
CRUK0093_SU_T1-R1	7.88E-01	6.29E-01	5.57E-01	1.39E-01
CRUK0093_SU_T1-R2	1.76E+00	1.96E+00	2.06E+00	1.12E+00
CRUK0094_SU_T1-R1	1.29E+00	1.01E+00	1.09E+00	8.01E-01
CRUK0094_SU_T1-R2	1.29E+00	1.15E+00	6.77E-01	9.20E-01
CRUK0094_SU_T1-R3	1.13E+00	9.73E-01	9.43E-01	6.95E-01
CRUK0094_SU_T1-R4	1.21E+00	8.07E-01	1.32E+00	7.72E-01
CRUK0095_SU_T1-R1	1.06E+00	1.04E+00	1.23E+00	7.38E-01
CRUK0095_SU_T1-R2	1.35E-01	2.72E-01	1.83E+00	1.75E+00
CRUK0095_SU_T1-R3	1.44E+00	1.44E+00	2.29E+00	7.87E-01
CRUK0096_SU_T1-R1	2.17E+00	1.90E+00	1.96E+00	1.41E+00
CRUK0096_SU_T1-R2	1.48E+00	1.25E+00	1.39E+00	5.99E-01
CRUK0096_SU_T1-R3	1.58E+00	1.14E+00	1.02E+00	1.30E+00
CRUK0096_SU_T1-R4	2.43E+00	2.52E+00	2.02E+00	1.19E+00
CRUK0096_SU_T1-R5	2.67E+00	2.32E+00	2.62E+00	1.00E+00
CRUK0096_SU_T1-R6	2.47E+00	2.38E+00	2.89E+00	8.81E-01
CRUK0096_SU_T1-R7	2.72E+00	2.32E+00	2.70E+00	1.11E+00
CRUK0097_SU_T1-R1	1.42E+00	1.20E+00	1.35E+00	6.43E-01
CRUK0097_SU_T1-R2	2.41E+00	1.98E+00	2.05E+00	1.19E+00
CRUK0098_SU_T1-R1	1.09E+00	7.56E-01	9.77E-01	4.43E-01
CRUK0098_SU_T1-R2	1.76E+00	2.20E+00	1.89E+00	8.01E-01
CRUK0098_SU_T1-R3	1.93E+00	2.19E+00	1.60E+00	6.61E-01
CRUK0099_SU_T1-R1	2.12E+00	1.66E+00	2.31E+00	7.42E-01
CRUK0099_SU_T1-R2	1.50E+00	8.79E-01	1.19E+00	8.62E-01
CRUK0099_SU_T1-R3	1.89E+00	1.56E+00	2.03E+00	9.71E-01
CRUK0099_SU_T1-R4	1.58E+00	7.61E-01	1.67E+00	8.60E-01
