Samples	SBS96A	SBS96B	SBS96C
CRUK0094_SU_T1-R4	77	75	17
CRUK0095_SU_T1-R1	47	79	21
CRUK0095_SU_T1-R2	0	73	71
CRUK0095_SU_T1-R3	39	136	28
CRUK0096_SU_T1-R1	257	209	78
CRUK0096_SU_T1-R2	444	49	15
CRUK0096_SU_T1-R3	291	20	83
CRUK0096_SU_T1-R4	657	258	58
CRUK0096_SU_T1-R5	521	287	46
CRUK0096_SU_T1-R6	247	287	36
CRUK0096_SU_T1-R7	741	268	50
CRUK0097_SU_T1-R1	376	65	16
CRUK0097_SU_T1-R2	535	234	57
CRUK0098_SU_T1-R1	200	33	7
CRUK0098_SU_T1-R2	88	308	22
CRUK0098_SU_T1-R3	186	315	19
CRUK0099_SU_T1-R1	64	194	38
CRUK0099_SU_T1-R2	106	68	32
CRUK0099_SU_T1-R3	151	180	53
CRUK0099_SU_T1-R4	88	97	39
CRUK0099_SU_T1-R5	92	30	22
CRUK0099_SU_T1-R6	103	113	20
CRUK0099_SU_T1-R7	67	38	14
CRUK0100_SU_T1-R1	991	94	26
CRUK0100_SU_T1-R2	942	64	185
CRUK0100_SU_T1-R3	393	158	154
