Samples	SBS96A	SBS96B	SBS96C
CRUK0023_SU_T1-R3	1.43E+00	1.32E+00	8.20E-01
CRUK0023_SU_T1-R4	7.67E-01	6.97E-01	4.27E-01
CRUK0024_SU_T1-R1	1.63E+00	1.54E+00	5.11E-01
CRUK0024_SU_T1-R2	3.55E-01	1.85E-01	3.54E-01
CRUK0024_SU_T1-R3	2.66E+00	2.45E+00	1.22E+00
CRUK0024_SU_T1-R4	2.14E+00	2.14E+00	9.55E-01
CRUK0024_SU_T1-R6	2.15E+00	2.02E+00	8.75E-01
CRUK0025_SU_T1-R1	3.01E+00	2.43E+00	1.47E+00
CRUK0025_SU_T1-R2	4.17E+00	3.95E+00	1.94E+00
CRUK0025_SU_T1-R3	2.01E+00	1.90E+00	1.12E+00
CRUK0026_SU_T1-R1	9.20E-01	8.08E-01	6.37E-01
CRUK0026_SU_T1-R2	2.19E+00	1.47E+00	1.98E+00
CRUK0027_SU_T1-R1	4.52E-01	1.19E-01	4.41E-01
CRUK0027_SU_T1-R2	1.03E+00	1.26E+00	9.21E-01
CRUK0027_SU_T1-R3	4.40E-01	3.84E-01	2.81E-01
CRUK0028_SU_T1-R1	1.13E+00	7.31E-01	1.09E+00
CRUK0028_SU_T1-R2	1.09E+00	9.50E-01	7.36E-01
CRUK0029_SU_T1-R1	9.95E-01	7.82E-01	7.14E-01
CRUK0029_SU_T1-R2	1.29E+00	1.25E+00	9.98E-01
CRUK0029_SU_T1-R4	2.61E+00	2.39E+00	1.34E+00
CRUK0029_SU_T1-R5	1.01E+00	9.11E-01	4.53E-01
CRUK0029_SU_T1-R6	2.58E+00	2.34E+00	1.26E+00
CRUK0029_SU_T1-R7	1.40E+00	1.16E+00	1.50E+00
CRUK0029_SU_T1-R8	1.71E+00	1.50E+00	9.68E-01
CRUK0030_SU_T2-R1	8.20E-01	1.42E+00	1.52E+00
CRUK0030_SU_T2-R2	1.14E+00	9.73E-01	7.50E-01
CRUK0030_SU_T2-R3	1.64E+00	1.26E+00	1.44E+00
CRUK0031_SU_T1-R1	3.28E+00	3.26E+00	1.38E+00
CRUK0031_SU_T1-R2	2.86E+00	2.68E+00	1.37E+00
CRUK0031_SU_T1-R3	4.11E+00	3.12E+00	3.43E+00
CRUK0032_SU_T1-R1	1.41E+00	1.01E+00	1.53E+00
CRUK0032_SU_T1-R2	2.06E+00	1.85E+00	1.31E+00
CRUK0032_SU_T1-R3	1.59E+00	1.32E+00	1.79E+00
CRUK0032_SU_T1-R4	2.12E+00	2.26E+00	1.26E+00
CRUK0033_SU_T1-R1	1.54E+00	1.45E+00	1.13E+00
CRUK0033_SU_T1-R2	2.11E+00	1.56E+00	1.76E+00
CRUK0034_SU_T1-R1	1.40E+00	6.77E-01	1.43E+00
CRUK0034_SU_T1-R2	1.83E+00	2.12E+00	1.25E+00
CRUK0034_SU_T1-R3	1.74E+00	1.48E+00	7.67E-01
CRUK0035_SU_T1-R1	9.73E-01	8.72E-01	1.08E+00
CRUK0035_SU_T1-R2	1.09E+00	7.01E-01	1.14E+00
CRUK0035_SU_T1-R3	9.96E-01	9.62E-01	2.08E-01
CRUK0036_SU_T1-R1	7.73E-01	6.74E-01	3.62E-01
CRUK0036_SU_T1-R2	1.95E+00	2.09E+00	1.20E+00
CRUK0036_SU_T1-R3	1.04E+00	1.01E+00	3.62E-01
CRUK0036_SU_T1-R4	1.06E+00	1.02E+00	4.08E-01
CRUK0037_SU_T1-R1	2.37E+00	2.17E+00	1.14E+00
CRUK0037_SU_T1-R2	1.81E+00	1.67E+00	1.02E+00
CRUK0037_SU_T1-R3	1.19E+00	1.19E+00	1.37E-01
CRUK0037_SU_T1-R4	1.81E+00	1.81E+00	1.04E+00
CRUK0037_SU_T1-R5	1.90E+00	1.78E+00	1.03E+00
CRUK0038_SU_T1-R1	1.51E+00	1.39E+00	1.87E+00
CRUK0038_SU_T1-R2	1.53E+00	9.09E-01	1.58E+00
CRUK0039_SU_T1-R1	1.84E+00	1.95E+00	9.49E-01
CRUK0039_SU_T1-R2	1.81E+00	1.89E+00	1.11E+00
CRUK0039_SU_T1-R3	1.98E+00	2.01E+00	1.20E+00
CRUK0040_SU_T1-R1	9.72E-01	8.96E-01	3.80E-01
CRUK0040_SU_T1-R2	1.25E+00	1.22E+00	7.52E-01
CRUK0041_SU_T1-R1	2.13E+00	1.94E+00	1.43E+00
CRUK0041_SU_T1-R2	1.95E+00	1.56E+00	1.75E+00
CRUK0041_SU_T1-R3	2.27E+00	2.18E+00	1.29E+00
CRUK0041_SU_T1-R4	1.44E+00	7.97E-01	1.23E+00
CRUK0042_SU_T1-R1	9.09E-01	9.53E-01	6.96E-01
CRUK0042_SU_T1-R2	5.11E-01	3.86E-01	3.78E-01
