NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
34	287.474	63.875	43.741	56.742	0.413	0.653	2000.0
35	289.711	64.094	44.138	56.831	0.414	0.652	1500.0
36	289.913	64.103	44.373	56.96	0.415	0.651	1500.0
37	288.932	63.925	43.94	56.611	0.413	0.655	1500.0
38	288.913	63.988	44.116	56.86	0.414	0.65	1500.0
39	288.346	64.097	44.159	56.904	0.419	0.652	1500.0
40	288.224	63.936	43.969	56.742	0.416	0.651	1500.0
41	290.287	64.45	44.126	56.897	0.417	0.652	1500.0
42	289.169	63.99	44.024	56.669	0.416	0.654	1500.0
43	289.0	63.959	44.225	56.789	0.417	0.654	2000.0
44	290.087	64.172	44.015	56.811	0.415	0.652	1500.0
45	287.99	63.91	43.957	56.688	0.415	0.655	1500.0
46	289.427	64.14	44.345	56.938	0.417	0.651	2000.0
47	289.967	64.159	44.061	56.866	0.416	0.651	1500.0
48	290.558	64.252	44.342	56.999	0.417	0.65	1500.0
49	289.726	63.853	44.127	56.825	0.415	0.651	1500.0
50	288.214	63.88	43.975	56.656	0.411	0.656	1500.0
51	289.083	63.952	44.175	56.829	0.418	0.652	1500.0
52	290.382	64.148	44.118	56.682	0.415	0.655	1500.0
53	289.479	64.235	44.098	56.766	0.419	0.654	1500.0
54	289.619	63.985	44.161	56.874	0.414	0.651	2000.0
55	289.099	64.113	43.776	56.617	0.416	0.654	2000.0
56	288.525	63.785	43.964	56.718	0.413	0.653	2000.0
57	286.882	64.026	43.909	56.703	0.418	0.652	1500.0
58	288.155	64.123	44.103	56.91	0.417	0.651	1500.0
59	289.509	64.277	44.023	56.895	0.417	0.65	1500.0
60	290.973	64.495	44.341	57.17	0.42	0.648	1500.0
61	287.725	63.922	43.887	56.906	0.414	0.65	1500.0
62	289.997	64.279	44.374	56.909	0.419	0.652	2000.0
63	288.348	63.914	43.937	56.659	0.415	0.654	1500.0
64	289.295	64.114	44.164	56.963	0.417	0.651	1500.0
65	287.161	63.949	43.931	56.665	0.417	0.652	1500.0
66	288.533	63.764	44.012	56.559	0.415	0.655	1500.0
67	291.441	64.702	44.468	57.18	0.423	0.647	1500.0
68	289.021	64.049	44.154	56.768	0.416	0.653	1500.0
69	288.835	63.819	43.968	56.65	0.414	0.654	2000.0
70	289.583	64.366	44.322	57.023	0.421	0.648	1500.0
71	289.464	64.225	44.051	56.911	0.418	0.649	1500.0
72	290.335	64.209	44.28	57.161	0.417	0.646	1500.0
73	289.072	64.049	44.081	56.776	0.416	0.653	1500.0
74	289.595	64.099	44.345	56.856	0.414	0.654	1500.0
75	288.976	64.172	44.075	56.881	0.418	0.65	1500.0
76	288.94	63.778	44.141	56.608	0.412	0.655	1500.0
77	287.316	63.91	43.853	56.653	0.417	0.653	2000.0
78	289.554	64.177	44.074	56.903	0.418	0.649	1500.0
79	289.446	64.235	44.232	56.978	0.417	0.649	1500.0
80	288.546	63.913	43.95	56.792	0.415	0.651	1500.0
81	289.01	63.95	44.22	56.81	0.416	0.654	1500.0
82	290.527	64.253	44.282	56.994	0.418	0.65	1500.0
83	289.594	63.993	44.153	56.809	0.417	0.65	1500.0
84	288.981	63.84	44.062	56.678	0.414	0.652	2000.0
85	289.323	64.178	43.956	56.885	0.418	0.65	1500.0
86	288.335	63.775	43.76	56.655	0.413	0.652	1500.0
87	288.521	64.012	44.01	56.757	0.416	0.652	2000.0
88	287.521	63.853	43.846	56.775	0.412	0.653	1500.0
89	289.769	63.827	43.96	56.622	0.41	0.655	1500.0
90	289.97	64.11	44.247	56.975	0.415	0.649	1500.0
91	289.364	63.81	44.08	56.721	0.41	0.654	1500.0
92	289.738	64.245	44.027	56.773	0.419	0.652	1500.0
93	287.953	63.61	43.581	56.448	0.409	0.656	1500.0
94	287.385	63.807	43.999	56.695	0.412	0.653	1500.0
95	288.185	63.807	44.124	56.808	0.412	0.653	1500.0
96	289.728	64.044	44.103	56.9	0.417	0.649	1500.0
97	288.589	64.13	43.961	56.811	0.418	0.652	1500.0
98	288.715	63.913	44.048	56.715	0.414	0.654	1500.0
99	289.791	63.85	44.232	56.834	0.413	0.651	1500.0
100	288.578	63.735	43.872	56.668	0.414	0.654	1500.0
