Samples	SBS96A	SBS96B	SBS96C	SBS96D
CRUK0065_SU_T1-R3	343	86	141	18
CRUK0065_SU_T1-R4	520	92	142	42
CRUK0065_SU_T1-R5	642	89	194	13
CRUK0065_SU_T1-R6	967	104	153	7
CRUK0065_SU_T1-R7	94	80	28	0
CRUK0066_SU_T1-R1	91	42	185	126
CRUK0066_SU_T1-R2	84	22	5	2
CRUK0066_SU_T1-R3	34	66	59	21
CRUK0066_SU_T1-R4	603	121	282	128
CRUK0067_SU_T1-R1	297	85	203	233
CRUK0067_SU_T1-R3	600	120	318	104
CRUK0068_SU_T1-R1	121	182	101	11
CRUK0068_SU_T1-R2	57	0	0	49
CRUK0068_SU_T1-R3	113	169	82	47
CRUK0068_SU_T1-R4	51	99	62	27
CRUK0069_SU_T1-R1	203	174	37	23
CRUK0069_SU_T1-R2	150	161	48	27
CRUK0069_SU_T1-R3	283	16	9	77
CRUK0069_SU_T1-R4	199	159	14	16
CRUK0069_SU_T1-R5	175	160	42	38
CRUK0070_SU_T1-R1	2198	210	204	232
CRUK0070_SU_T1-R2	1621	151	91	248
CRUK0070_SU_T1-R4	835	203	196	69
CRUK0070_SU_T1-R6	751	134	207	87
CRUK0070_SU_T1-R7	0	0	0	174
CRUK0071_SU_T1-R1	1287	112	154	25
CRUK0071_SU_T1-R2	323	86	36	16
CRUK0071_SU_T1-R3	461	29	44	10
CRUK0071_SU_T1-R5	0	0	0	104
CRUK0071_SU_T1-R6	189	88	50	9
CRUK0071_SU_T1-R7	1127	122	122	35
CRUK0072_SU_T1-R1	556	118	88	60
CRUK0072_SU_T1-R2	1810	170	141	66
CRUK0072_SU_T1-R3	126	44	80	46
CRUK0072_SU_T1-R4	1686	158	132	45
CRUK0073_SU_T1-R1	2521	335	441	63
CRUK0073_SU_T1-R2	588	115	150	35
CRUK0074_SU_T1-R1	443	65	432	29
CRUK0074_SU_T1-R2	101	62	158	31
CRUK0074_SU_T1-R3	43	41	80	31
CRUK0075_SU_T1-R1	59	172	75	34
CRUK0075_SU_T1-R2	704	143	212	25
CRUK0076_SU_T1-R1	830	92	46	116
CRUK0076_SU_T1-R2	1039	232	108	26
CRUK0076_SU_T1-R3	485	285	58	32
CRUK0076_SU_T1-R4	682	246	58	15
CRUK0077_SU_T1-R1	246	90	60	31
CRUK0077_SU_T1-R2	1229	39	95	53
CRUK0077_SU_T1-R3	2879	189	221	147
CRUK0078_SU_T1-R2	216	0	0	97
CRUK0078_SU_T1-R3	27	0	0	131
CRUK0078_SU_T1-R4	78	3	2	4
CRUK0079_SU_T1-R1	505	43	36	38
CRUK0079_SU_T1-R2	794	110	92	27
CRUK0079_SU_T1-R3	831	112	159	55
CRUK0079_SU_T1-R4	880	110	110	40
CRUK0080_SU_T1-R2	36	37	14	94
CRUK0080_SU_T1-R3	136	0	0	44
CRUK0080_SU_T1-R4	176	17	11	69
CRUK0080_SU_T1-R5	177	81	54	21
CRUK0080_SU_T1-R6	143	33	28	120
CRUK0081_SU_T1-R1	73	46	15	9
CRUK0081_SU_T1-R5	255	98	61	26
CRUK0081_SU_T1-R6	39	0	0	4
CRUK0082_SU_T1-R1	716	70	58	0
CRUK0082_SU_T1-R2	461	19	41	3
CRUK0082_SU_T1-R3	232	0	28	0
CRUK0082_SU_T1-R4	774	152	79	62
CRUK0082_SU_T1-R5	255	127	59	41
CRUK0083_SU_T1-R1	1097	136	285	37
CRUK0083_SU_T1-R2	1216	131	376	98
CRUK0083_SU_T1-R3	684	198	355	24
CRUK0083_SU_T1-R4	2406	132	271	235
CRUK0084_SU_T1-R1	729	70	59	11
CRUK0084_SU_T1-R2	707	97	72	37
CRUK0084_SU_T1-R3	354	25	29	83
CRUK0084_SU_T1-R4	516	59	53	5
CRUK0085_SU_T1-R1	69	144	152	13
CRUK0085_SU_T1-R2	202	208	335	18
CRUK0085_SU_T1-R3	57	177	493	28
CRUK0085_SU_T1-R4	461	179	391	30
CRUK0086_SU_T1-R1	74	178	60	36
CRUK0086_SU_T1-R2	405	214	113	45
CRUK0086_SU_T1-R4	25	175	111	32
CRUK0087_SU_T1-R1	38	30	288	48
CRUK0087_SU_T1-R2	35	39	266	20
CRUK0087_SU_T1-R3	69	16	169	7
CRUK0088_SU_T1-R1	108	111	85	13
CRUK0088_SU_T1-R2	291	124	109	47
CRUK0089_SU_T1-R1	17	10	3	5
CRUK0089_SU_T1-R2	6	326	35	23
CRUK0090_SU_T1-R1	941	50	45	119
CRUK0090_SU_T1-R2	1282	246	130	50
CRUK0091_SU_T1-R1	46	2	2	16
CRUK0091_SU_T1-R2	119	65	15	9
CRUK0092_SU_T1-R1	173	51	28	28
CRUK0092_SU_T1-R2	56	21	0	17
CRUK0093_SU_T1-R1	102	20	0	0
CRUK0093_SU_T1-R2	42	221	93	29
CRUK0094_SU_T1-R1	102	17	31	25
CRUK0094_SU_T1-R2	142	47	0	22
CRUK0094_SU_T1-R3	96	33	30	23
CRUK0094_SU_T1-R4	72	17	67	13
CRUK0095_SU_T1-R1	40	48	41	18
CRUK0095_SU_T1-R2	0	0	84	60
CRUK0095_SU_T1-R3	26	57	98	22
CRUK0096_SU_T1-R1	235	155	82	72
CRUK0096_SU_T1-R2	437	4	55	12
CRUK0096_SU_T1-R3	279	38	0	77
CRUK0096_SU_T1-R4	620	203	95	55
CRUK0096_SU_T1-R5	490	175	149	40
CRUK0096_SU_T1-R6	222	153	166	29
