Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
CRUK0070_SU_T1-R7	3879	0.953	1062.666	27.395%	175.863	31.213%	0.08866	0.91
CRUK0071_SU_T1-R1	11105	0.971	2546.854	22.934%	396.748	25.003%	0.04608	0.944
CRUK0071_SU_T1-R2	11729	0.983	2252.572	19.205%	320.142	19.434%	0.03361	0.967
CRUK0071_SU_T1-R3	3836	0.967	1007.853	26.274%	146.74	26.118%	0.06175	0.937
CRUK0071_SU_T1-R5	1782	0.974	438.623	24.614%	57.306	22.628%	0.06036	0.946
CRUK0071_SU_T1-R6	7308	0.971	1707.281	23.362%	254.232	24.892%	0.04582	0.944
CRUK0071_SU_T1-R7	12526	0.98	2537.646	20.259%	365.608	20.688%	0.04107	0.962
CRUK0072_SU_T1-R1	2460	0.956	706.737	28.729%	103.587	31.206%	0.08976	0.908
CRUK0072_SU_T1-R2	3572	0.969	914.103	25.591%	131.265	25.069%	0.06239	0.942
CRUK0072_SU_T1-R3	860	0.931	305.066	35.473%	43.586	37.527%	0.1217	0.842
CRUK0072_SU_T1-R4	3504	0.97	874.653	24.962%	127.972	24.452%	0.05831	0.945
CRUK0073_SU_T1-R1	8060	0.955	2175.737	26.994%	341.826	29.819%	0.06008	0.907
CRUK0073_SU_T1-R2	6354	0.957	1764.777	27.774%	277.277	30.657%	0.06818	0.917
CRUK0074_SU_T1-R1	10829	0.986	1960.769	18.107%	259.926	17.042%	0.03525	0.97
CRUK0074_SU_T1-R2	5377	0.965	1438.939	26.761%	206.077	26.705%	0.06237	0.932
CRUK0074_SU_T1-R3	5800	0.985	1087.618	18.752%	150.256	17.773%	0.03484	0.971
CRUK0075_SU_T1-R1	9938	0.979	2008.459	20.21%	293.508	21.042%	0.04312	0.959
CRUK0075_SU_T1-R2	11314	0.978	2352.836	20.796%	341.974	21.543%	0.04238	0.954
CRUK0076_SU_T1-R1	2077	0.958	600.851	28.929%	83.759	28.617%	0.07806	0.91
CRUK0076_SU_T1-R2	8087	0.977	1727.45	21.361%	249.771	22.68%	0.04201	0.955
CRUK0076_SU_T1-R3	5989	0.976	1328.311	22.179%	181.686	22.231%	0.0457	0.949
CRUK0076_SU_T1-R4	7393	0.985	1260.69	17.052%	176.676	17.68%	0.02926	0.968
CRUK0077_SU_T1-R1	6018	0.978	1214.278	20.177%	173.579	21.517%	0.04121	0.949
CRUK0077_SU_T1-R2	2965	0.975	689.401	23.251%	98.908	22.505%	0.05921	0.952
CRUK0077_SU_T1-R3	8355	0.972	1961.713	23.48%	292.415	24.041%	0.04747	0.946
CRUK0078_SU_T1-R2	7114	0.98	1387.928	19.51%	210.459	20.395%	0.04909	0.96
CRUK0078_SU_T1-R3	3311	0.975	783.082	23.651%	109.87	22.32%	0.06175	0.952
CRUK0078_SU_T1-R4	5502	0.984	1006.588	18.295%	145.706	17.967%	0.03465	0.969
CRUK0079_SU_T1-R1	3151	0.974	762.029	24.184%	104.37	23.177%	0.0513	0.947
CRUK0079_SU_T1-R2	4481	0.977	1005.368	22.436%	141.889	22.706%	0.04649	0.957
CRUK0079_SU_T1-R3	4419	0.976	996.309	22.546%	139.196	22.729%	0.04889	0.95
CRUK0079_SU_T1-R4	6813	0.983	1285.667	18.871%	181.779	18.912%	0.03604	0.968
CRUK0080_SU_T1-R2	9903	0.96	2880.795	29.09%	374.377	28.176%	0.07227	0.907
CRUK0080_SU_T1-R3	5691	0.983	1080.781	18.991%	149.913	18.36%	0.03796	0.967
CRUK0080_SU_T1-R4	3996	0.965	1084.142	27.131%	156.475	27.316%	0.07306	0.932
CRUK0080_SU_T1-R5	9803	0.983	1792.477	18.285%	252.158	18.738%	0.03197	0.961
CRUK0080_SU_T1-R6	7123	0.971	1677.366	23.549%	248.143	24.717%	0.05223	0.944
CRUK0081_SU_T1-R1	5447	0.966	1426.212	26.183%	189.511	26.011%	0.06218	0.918
CRUK0081_SU_T1-R5	4415	0.961	1168.467	26.466%	156.482	27.944%	0.06955	0.891
CRUK0081_SU_T1-R6	3992	0.981	832.986	20.866%	114.2	19.801%	0.04255	0.963
