Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
CRUK0068_SU_T1-R4	1.63E+00	1.44E+00	2.38E+00	2.34E+00	6.28E-01
CRUK0069_SU_T1-R1	3.39E+00	1.76E+00	3.56E+00	1.76E+00	6.57E-01
CRUK0069_SU_T1-R2	2.61E+00	2.06E+00	2.05E+00	2.05E+00	6.79E-01
CRUK0069_SU_T1-R3	3.64E+00	9.09E-01	3.68E+00	1.05E+00	1.17E+00
CRUK0069_SU_T1-R4	2.68E+00	2.18E+00	3.51E+00	1.55E+00	6.67E-01
CRUK0069_SU_T1-R5	2.92E+00	1.80E+00	2.58E+00	1.86E+00	8.22E-01
CRUK0070_SU_T1-R1	2.08E+01	4.60E+00	1.93E+01	7.68E+00	2.59E+00
CRUK0070_SU_T1-R2	1.81E+01	3.74E+00	1.78E+01	7.49E+00	2.41E+00
CRUK0070_SU_T1-R4	1.16E+01	2.83E+00	1.13E+01	5.93E+00	1.33E+00
CRUK0070_SU_T1-R6	1.06E+01	2.87E+00	1.05E+01	5.52E+00	1.80E+00
CRUK0070_SU_T1-R7	3.45E-01	2.19E-01	6.68E-01	2.03E+00	1.75E+00
CRUK0071_SU_T1-R1	1.25E+01	3.27E+00	1.07E+01	4.82E+00	8.24E-01
CRUK0071_SU_T1-R2	4.24E+00	1.56E+00	4.00E+00	1.50E+00	6.50E-01
CRUK0071_SU_T1-R3	4.82E+00	1.29E+00	4.15E+00	2.21E+00	6.56E-01
CRUK0071_SU_T1-R5	9.61E-01	3.63E-01	1.03E+00	4.77E-01	1.16E+00
CRUK0071_SU_T1-R6	3.21E+00	1.61E+00	2.73E+00	2.23E+00	4.37E-01
CRUK0071_SU_T1-R7	1.23E+01	3.04E+00	1.10E+01	4.25E+00	1.02E+00
CRUK0072_SU_T1-R1	5.35E+00	1.94E+00	5.14E+00	2.85E+00	1.21E+00
CRUK0072_SU_T1-R2	1.83E+01	3.64E+00	1.82E+01	7.90E+00	1.12E+00
CRUK0072_SU_T1-R3	2.14E+00	1.18E+00	1.84E+00	2.25E+00	1.09E+00
CRUK0072_SU_T1-R4	1.65E+01	3.42E+00	1.62E+01	6.47E+00	1.15E+00
CRUK0073_SU_T1-R1	2.94E+01	5.30E+00	2.59E+01	1.46E+01	1.39E+00
CRUK0073_SU_T1-R2	6.60E+00	2.25E+00	5.55E+00	3.69E+00	8.90E-01
CRUK0074_SU_T1-R1	4.31E+00	2.22E+00	9.43E+00	1.02E+01	1.02E+00
CRUK0074_SU_T1-R2	2.03E+00	1.36E+00	3.73E+00	3.36E+00	8.05E-01
CRUK0074_SU_T1-R3	1.84E+00	1.04E+00	1.30E+00	2.10E+00	9.10E-01
CRUK0075_SU_T1-R1	2.08E+00	1.99E+00	1.82E+00	2.16E+00	9.82E-01
CRUK0075_SU_T1-R2	7.56E+00	2.39E+00	5.38E+00	6.80E+00	9.30E-01
CRUK0076_SU_T1-R1	8.66E+00	2.16E+00	8.46E+00	3.56E+00	1.42E+00
CRUK0076_SU_T1-R2	1.30E+01	3.66E+00	1.32E+01	6.94E+00	8.09E-01
CRUK0076_SU_T1-R3	6.14E+00	2.97E+00	6.48E+00	2.53E+00	7.97E-01
CRUK0076_SU_T1-R4	8.41E+00	3.44E+00	9.06E+00	2.64E+00	6.69E-01
CRUK0077_SU_T1-R1	4.42E+00	1.86E+00	3.69E+00	2.97E+00	7.87E-01
CRUK0077_SU_T1-R2	1.41E+01	2.49E+00	1.32E+01	4.76E+00	1.23E+00
CRUK0077_SU_T1-R3	3.25E+01	4.87E+00	3.10E+01	1.08E+01	1.97E+00
