Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
CRUK0057_SU_T1-R1	186	300	63	14	49
CRUK0057_SU_T1-R2	209	12	36	0	387
CRUK0058_SU_T1-R1	593	69	17	41	37
CRUK0058_SU_T1-R2	528	77	23	98	46
CRUK0059_SU_T1-R1	86	18	0	31	13
CRUK0059_SU_T1-R2	72	13	0	60	10
CRUK0060_SU_T1-R1	33	554	63	0	30
CRUK0060_SU_T1-R2	37	101	0	22	31
CRUK0061_SU_T1-R1	466	70	44	37	81
CRUK0061_SU_T1-R2	45	8	0	0	2
CRUK0062_SU_T1-R1	1461	98	136	61	56
CRUK0062_SU_T1-R2	1675	162	265	114	29
CRUK0062_SU_T1-R3	1301	117	183	61	31
CRUK0062_SU_T1-R4	2135	111	171	126	67
CRUK0062_SU_T1-R5	654	46	87	65	38
CRUK0062_SU_T1-R6	154	27	66	27	14
CRUK0062_SU_T1-R7	2310	166	231	180	64
CRUK0063_SU_T1-R3	47	19	9	42	81
CRUK0063_SU_T1-R4	166	34	153	0	19
CRUK0063_SU_T1-R5	225	42	140	31	22
CRUK0063_SU_T1-R6	28	4	3	0	61
CRUK0063_SU_T1-R7	47	4	4	4	0
CRUK0064_SU_T1-R1	81	41	43	78	14
CRUK0064_SU_T1-R2	63	18	9	7	9
CRUK0065_SU_T1-R1	1340	102	140	101	20
CRUK0065_SU_T1-R2	1057	115	133	58	38
CRUK0065_SU_T1-R3	301	74	143	52	18
CRUK0065_SU_T1-R4	472	82	152	52	38
CRUK0065_SU_T1-R5	580	75	203	67	13
CRUK0065_SU_T1-R6	918	93	143	70	7
CRUK0065_SU_T1-R7	80	73	48	0	1
CRUK0066_SU_T1-R1	79	11	0	255	99
CRUK0066_SU_T1-R2	82	21	4	4	2
CRUK0066_SU_T1-R3	29	58	10	68	15
CRUK0066_SU_T1-R4	597	84	7	348	98
CRUK0067_SU_T1-R1	285	54	0	285	194
CRUK0067_SU_T1-R3	589	71	0	410	72
CRUK0068_SU_T1-R1	88	164	142	8	13
CRUK0068_SU_T1-R2	57	0	5	0	44
CRUK0068_SU_T1-R3	89	155	101	23	43
CRUK0068_SU_T1-R4	33	89	79	13	25
CRUK0069_SU_T1-R1	192	162	39	24	20
CRUK0069_SU_T1-R2	134	150	64	13	25
CRUK0069_SU_T1-R3	272	17	19	8	69
CRUK0069_SU_T1-R4	192	150	21	11	14
CRUK0069_SU_T1-R5	163	149	42	27	34
CRUK0070_SU_T1-R1	2110	198	229	100	207
CRUK0070_SU_T1-R2	1567	147	120	56	221
CRUK0070_SU_T1-R4	812	175	60	203	53
CRUK0070_SU_T1-R6	743	106	10	254	66
CRUK0070_SU_T1-R7	0	0	0	39	135
CRUK0071_SU_T1-R1	1234	102	151	67	24
CRUK0071_SU_T1-R2	309	80	41	17	14
CRUK0071_SU_T1-R3	445	26	44	19	10
CRUK0071_SU_T1-R5	18	1	0	0	85
CRUK0071_SU_T1-R6	168	81	75	2	10
CRUK0071_SU_T1-R7	1081	112	126	55	32
CRUK0072_SU_T1-R1	533	108	62	67	52
CRUK0072_SU_T1-R2	1761	159	116	93	58
CRUK0072_SU_T1-R3	122	32	2	104	36
CRUK0072_SU_T1-R4	1641	147	108	86	39
CRUK0073_SU_T1-R1	2424	281	273	335	47
CRUK0073_SU_T1-R2	579	94	20	171	24
CRUK0074_SU_T1-R1	355	33	335	222	24
CRUK0074_SU_T1-R2	75	47	101	104	25
CRUK0074_SU_T1-R3	40	29	0	103	23
CRUK0075_SU_T1-R1	50	157	35	70	28
CRUK0075_SU_T1-R2	632	124	241	62	25
CRUK0076_SU_T1-R1	799	90	79	11	105
CRUK0076_SU_T1-R2	999	213	107	63	23
CRUK0076_SU_T1-R3	455	268	106	0	31
CRUK0076_SU_T1-R4	653	229	79	26	14
CRUK0077_SU_T1-R1	215	83	99	0	30
