NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
79	230.642	53.251	33.162	44.951	0.31	0.79	13000.0
80	230.223	53.028	33.037	44.816	0.308	0.792	8500.0
81	229.36	52.923	33.049	44.586	0.306	0.796	6000.0
82	231.045	53.314	33.111	44.831	0.31	0.793	6000.0
83	230.82	53.029	33.013	44.619	0.307	0.793	11000.0
84	229.246	52.743	32.947	44.524	0.305	0.794	6000.0
85	228.48	52.933	32.966	44.858	0.307	0.792	9500.0
86	230.247	52.949	32.974	44.829	0.307	0.79	6000.0
87	227.746	52.794	32.774	44.523	0.306	0.794	8500.0
88	228.678	52.814	32.878	44.625	0.305	0.794	6500.0
89	228.674	52.445	32.736	44.334	0.3	0.797	12000.0
90	229.464	52.954	33.107	44.67	0.307	0.793	4500.0
91	229.029	52.567	32.827	44.266	0.301	0.799	7000.0
92	227.701	52.654	32.559	44.26	0.305	0.796	10500.0
93	229.257	52.661	32.715	44.519	0.301	0.795	9000.0
94	229.627	53.027	33.121	44.878	0.305	0.791	11500.0
95	228.381	52.919	32.965	44.86	0.304	0.792	7500.0
96	230.625	53.083	33.103	44.974	0.308	0.79	6500.0
97	227.481	52.74	32.627	44.388	0.307	0.796	12500.0
98	227.867	52.689	32.712	44.379	0.303	0.797	9000.0
99	228.191	52.436	32.76	44.26	0.302	0.798	14000.0
100	229.529	52.934	32.877	44.724	0.307	0.792	9500.0
